,Room Name,DateIn,DateOut
99,Meeting Room B409,2020/1/21,2020/2/3
100,Meeting Room B411,2020/1/21,2020/2/3
114,Meeting Room C103,2020/1/21,2020/2/3
115,Meeting Room C104,2020/1/21,2020/2/3
116,Meeting Room C105,2020/1/21,2020/2/3
117,Meeting Room C106,2020/1/21,2020/2/3
118,Meeting Room C107,2020/1/21,2020/2/3
119,Meeting Room C108,2020/1/21,2020/2/3
120,Meeting Room C109,2020/1/21,2020/2/3
121,Meeting Room C110,2020/1/21,2020/2/3
124,Meeting Room C201,2020/1/21,2020/2/3
125,Meeting Room C202,2020/1/21,2020/2/3
126,Meeting Room C203,2020/1/21,2020/2/3
127,Meeting Room C204,2020/1/21,2020/2/3
128,Meeting Room C205,2020/1/21,2020/2/3
129,Meeting Room C206,2020/1/21,2020/2/3
130,Meeting Room C207,2020/1/21,2020/2/3
140,Meeting Room C301,2020/1/21,2020/2/3
141,Meeting Room C302,2020/1/21,2020/2/3
122,Room C101 Auditorium,2020/1/21,2020/2/3
123,Room C102 Auditorium,2020/1/21,2020/2/3
102,Thomas Murphy Ballroom 1,2020/1/21,2020/2/3
103,Thomas Murphy Ballroom 2,2020/1/21,2020/2/3
104,Thomas Murphy Ballroom 3,2020/1/21,2020/2/3
105,Thomas Murphy Ballroom 4,2020/1/21,2020/2/3
54,Meeting Room B207,2020/3/16,2020/3/19
124,Meeting Room C201,2020/3/16,2020/3/19
125,Meeting Room C202,2020/3/16,2020/3/19
126,Meeting Room C203,2020/3/16,2020/3/19
127,Meeting Room C204,2020/3/16,2020/3/19
128,Meeting Room C205,2020/3/16,2020/3/19
129,Meeting Room C206,2020/3/16,2020/3/19
140,Meeting Room C301,2020/3/16,2020/3/19
141,Meeting Room C302,2020/3/16,2020/3/19
23,Building A Registration Hall,2020/4/17,2020/4/25
0,Exhibit Hall A1,2020/4/17,2020/4/25
1,Exhibit Hall A2,2020/4/17,2020/4/25
2,Exhibit Hall A3,2020/4/17,2020/4/25
6,Meeting Room A301,2020/4/17,2020/4/25
7,Meeting Room A302,2020/4/17,2020/4/25
8,Meeting Room A303,2020/4/17,2020/4/25
9,Meeting Room A304,2020/4/17,2020/4/25
10,Meeting Room A305,2020/4/17,2020/4/25
11,Meeting Room A306,2020/4/17,2020/4/25
12,Meeting Room A307,2020/4/17,2020/4/25
13,Meeting Room A308a,2020/4/17,2020/4/25
14,Meeting Room A308b,2020/4/17,2020/4/25
15,Meeting Room A309,2020/4/17,2020/4/25
16,Meeting Room A310,2020/4/17,2020/4/25
17,Meeting Room A311,2020/4/17,2020/4/25
18,Meeting Room A312,2020/4/17,2020/4/25
19,Meeting Room A313,2020/4/17,2020/4/25
20,Meeting Room A314,2020/4/17,2020/4/25
21,Meeting Room A315,2020/4/17,2020/4/25
22,Meeting Room A316,2020/4/17,2020/4/25
26,Meeting Room A401,2020/4/17,2020/4/25
27,Meeting Room A402,2020/4/17,2020/4/25
28,Meeting Room A403,2020/4/17,2020/4/25
29,Meeting Room A404,2020/4/17,2020/4/25
30,Meeting Room A405,2020/4/17,2020/4/25
31,Meeting Room A406,2020/4/17,2020/4/25
32,Meeting Room A407,2020/4/17,2020/4/25
33,Meeting Room A408,2020/4/17,2020/4/25
34,Meeting Room A409,2020/4/17,2020/4/25
35,Meeting Room A410,2020/4/17,2020/4/25
36,Meeting Room A411,2020/4/17,2020/4/25
37,Meeting Room A412,2020/4/17,2020/4/25
39,Sidney Marcus Auditorium,2020/4/17,2020/4/25
23,Building A Registration Hall,2020/2/2,2020/2/9
25,Executive Boardroom,2020/2/2,2020/2/9
0,Exhibit Hall A1,2020/2/2,2020/2/9
1,Exhibit Hall A2,2020/2/2,2020/2/9
3,Exhibit Hall Meeting Room A101,2020/2/2,2020/2/9
4,Exhibit Hall Meeting Room A102,2020/2/2,2020/2/9
5,Exhibit Hall Meeting Room A103,2020/2/2,2020/2/9
6,Meeting Room A301,2020/2/2,2020/2/9
7,Meeting Room A302,2020/2/2,2020/2/9
8,Meeting Room A303,2020/2/2,2020/2/9
9,Meeting Room A304,2020/2/2,2020/2/9
10,Meeting Room A305,2020/2/2,2020/2/9
11,Meeting Room A306,2020/2/2,2020/2/9
12,Meeting Room A307,2020/2/2,2020/2/9
13,Meeting Room A308a,2020/2/2,2020/2/9
14,Meeting Room A308b,2020/2/2,2020/2/9
15,Meeting Room A309,2020/2/2,2020/2/9
16,Meeting Room A310,2020/2/2,2020/2/9
17,Meeting Room A311,2020/2/2,2020/2/9
18,Meeting Room A312,2020/2/2,2020/2/9
19,Meeting Room A313,2020/2/2,2020/2/9
20,Meeting Room A314,2020/2/2,2020/2/9
21,Meeting Room A315,2020/2/2,2020/2/9
22,Meeting Room A316,2020/2/2,2020/2/9
26,Meeting Room A401,2020/2/2,2020/2/9
27,Meeting Room A402,2020/2/2,2020/2/9
28,Meeting Room A403,2020/2/2,2020/2/9
29,Meeting Room A404,2020/2/2,2020/2/9
30,Meeting Room A405,2020/2/2,2020/2/9
31,Meeting Room A406,2020/2/2,2020/2/9
32,Meeting Room A407,2020/2/2,2020/2/9
33,Meeting Room A408,2020/2/2,2020/2/9
34,Meeting Room A409,2020/2/2,2020/2/9
35,Meeting Room A410,2020/2/2,2020/2/9
36,Meeting Room A411,2020/2/2,2020/2/9
37,Meeting Room A412,2020/2/2,2020/2/9
39,Sidney Marcus Auditorium,2020/2/2,2020/2/9
22,Meeting Room A316,2020/4/19,2020/4/21
27,Meeting Room A402,2020/4/19,2020/4/21
28,Meeting Room A403,2020/4/19,2020/4/21
29,Meeting Room A404,2020/4/19,2020/4/21
30,Meeting Room A405,2020/4/19,2020/4/21
31,Meeting Room A406,2020/4/19,2020/4/21
32,Meeting Room A407,2020/4/19,2020/4/21
33,Meeting Room A408,2020/4/19,2020/4/21
35,Meeting Room A410,2020/4/19,2020/4/21
36,Meeting Room A411,2020/4/19,2020/4/21
37,Meeting Room A412,2020/4/19,2020/4/21
87,Building B Registration Hall,2021/1/19,2021/2/2
25,Executive Boardroom,2021/1/19,2021/2/2
0,Exhibit Hall A1,2021/1/19,2021/2/2
1,Exhibit Hall A2,2021/1/19,2021/2/2
2,Exhibit Hall A3,2021/1/19,2021/2/2
143,Exhibit Hall BC,2021/1/19,2021/2/2
0,Exhibit Hall A1,2021/1/19,2021/2/2
1,Exhibit Hall A2,2021/1/19,2021/2/2
2,Exhibit Hall A3,2021/1/19,2021/2/2
137,Georgia Ballroom 1,2021/1/19,2021/2/2
88,International Conference Room,2021/1/19,2021/2/2
6,Meeting Room A301,2021/1/19,2021/2/2
7,Meeting Room A302,2021/1/19,2021/2/2
8,Meeting Room A303,2021/1/19,2021/2/2
9,Meeting Room A304,2021/1/19,2021/2/2
