,Event ID,Description,Cluster,Demand,PM
208,6175,Bronner Bros. International Beauty Show,CONV,0,0.173302689
209,15157,Sync 2017,CONF_GAM,1,0.178586471
210,15986,Chick-Fil-A Inc Field Day,SMALL,0,0.192176539
211,14041,Kaman National Sales Conference,SMALL,0,0.162856605
212,16421,ESPN College GameDay Production Offices,MEET,0,0.163236587
213,6028,Chick-fil-A Kickoff Game Fan Activities,CONF_GAM,2,0.172092056
214,14189,Kaiser Permanente Walk,SMALL,2,0.177075009
215,14543,Glassbuild - Freeman,CON_P,2,0.194463998
216,12179,HR Star Conference,CONF_GAM,2,0.183169995
217,16030,Hire Dynamics,ME_OTH,2,0.196491357
218,15825,Humana 5K 2017,SMALL,2,0.139251288
219,5420,GlassBuild America 2017,CONV,0,0.177509612
220,16576,Hanna Brothers,ME_OTH,2,0.197004801
221,15417,Salesforce World Tour,MEET,2,0.189664013
222,11459,McLeod Software 2017 User's Conference,MEET,2,0.17366192
223,15439,GES/NACVS,CON_P,2,0.174442894
224,15465,Fitness Retention Conference,CONF_GAM,2,0.143703673
225,16396,Levy Restaurants Training Series,SMALL,2,0.199852795
226,9419,Council of Supply Chain Management Professionals,CONV,0,0.183985263
227,16478,Raspberry Pink Productions,CON_P,2,0.191180933
228,13212,North American Commercial Vehicle Show,CONV,0,0.187122599
229,5175,World Energy Engineering Congress (WEEC)/Association of Energy Engineers (AEE),CONV,0,0.184431759
230,8728,BAI Beacon,CONV,2,0.186205146
231,12314,Four Pillar Tribute,SMALL,2,0.129821592
232,15578,Walk to Defeat ALS,CHRTY_GRAD,2,0.198068187
233,16031,2017 Buddy Walk,CHRTY_GRAD,2,0.190940278
234,5347,American Public Transportation Association,CONV,2,0.184649385
235,15790,"Herbalife International of America, Inc.",CONF_GAM,2,0.16812396
236,11502,2017 Susan G. Komen,CHRTY_GRAD,2,0.156795353
237,15497,VMUG Regional User Group,MEET,1,0.19670591
238,5465,American Dental Association Annual Session,CONV,2,0.183077829
239,15682,APS Homecoming,CONF_GAM,2,0.13936561
240,16312,THE FRONT RUNNER,FILM_AWC,2,0.196426705
241,5056,Medtrade Conference & Expo,CONV,2,0.176501757
242,14546,American Public Health - Freeman,CON_P,1,0.181602747
243,15999,Carry the Torch,ME_OTH,1,0.199447758
244,15980,2017 MLS Playoff - Knockout Round,SMALL,2,0.131221109
245,10646,2017 Net Impact Conference,CONV,2,0.190038667
246,13229,Walker Stalker Con,PUB,1,0.173379714
247,15533,Tarpon Springs Band Booster,SMALL,2,0.182893899
248,15421,Battle of the Dancelines,COMP,1,0.192809115
249,14759,The Atlanta Women's Foundation - Numbers Too Big To Ignore,ME_OTH,2,0.172056186
250,14665,State of the Region Breakfast,ME_OTH,2,0.168544671
251,16370,Big Data Bootcamp,MEET,2,0.144417854
252,5258,APHA - Annual Meeting & Exposition,CONV,1,0.141937545
253,13513,The Ultimate Women's Expo,PUB,2,0.166863812
254,15781,Cindy Trimm Ministries International,ME_OTH,2,0.065103855
255,15858,United Way of Greater Atlanta,ME_OTH,2,0.181104292
256,12725,Legacy of Excellence Awards,FILM_AWC,2,0.184809766
257,14079,Star City Games,PUB,2,0.161160707
258,16847,Starbucks Equipment Display Meeting,MEET,2,0.198673708
259,15019,Academy of Educational Excellence Awards,FILM_AWC,2,0.192555992
260,15235,Purple Stride Atlanta Walk,CHRTY_GRAD,1,0.182632313
261,15878,Georgia Economic Developers Association,FILM_AWC,2,0.193947121
262,16927,Heaven,FILM_AWC,2,0.191742531
263,5125,National Association for the Education of Young Children,CONV,1,0.169031018
264,13787,Heroes & Villains Fan Fest,PUB,2,0.170096816
265,15446,Hosea Feed The Hungry & Homeless- Thanksgiving,CHRTY_GRAD,1,0.10198256
266,16505,Antidote,FILM_AWC,2,0.19580156
267,16652,Turner Broadcasting All Hands Meeting,MEET,2,0.196358411
268,5943,Dr Pepper SEC FanFare,SMALL,2,0.163506087
269,16432,SEC Dr Pepper Hospitality Party,SMALL,2,0.197416545
270,15353,CheerSport Grand Championships,COMP,1,0.12970948
271,5349,ASH Annual Meeting & Exposition,CONV,0,0.181822246
272,14345,Celebration Bowl,CONF_GAM,2,0.146012224
273,16705,New Wedding Ceremony,SMALL,2,0.156746858
274,15447,Hosea Feed The Hungry & Homeless,CHRTY_GRAD,1,0.120030503
275,15171,Dixie Nationals,COMP,1,0.119518983
276,15450,Bassnectar,CON_P,0,0.16821629
277,12804,Chick-fil-A Peach Bowl Fanfest,SMALL,1,0.165334625
278,5245,College Football Playoff Natl Championship Ancillary Events at GWCC,SMALL,1,0.175682884
279,17155,Star Season 2 Basecamp,FILM_AWC,0,0.146812195
280,15314,Eggs & Issues,ME_OTH,1,0.17935795
281,5479,Lil' Big South 2018,COMP,2,0.178559386
282,16499,Herzing University Graduation,CHRTY_GRAD,1,0.19935597
283,5149,Mary Kay Inc. 2018 Leadership Conference,CONV,1,0.163437005
284,15487,Capital Expos-Vendors Exhibit,SMALL,1,0.197959495
285,5235,Progressive Insurance Atlanta Boat Show 2018,PUB,1,0.183769103
286,15356,CheerSport Grand Championships,COMP,2,0.184815902
287,16822,Force of Will,CONF_GAM,1,0.195319319
288,16848,Hosea Feed The Hungry & Homeless,ME_OTH,1,0.160775821
289,17069,Americans Serving Americans,MEET,1,0.199371285
290,17194,Councilmember Ivory Young Town Hall Meeting,MEET,1,0.185082314
291,16668,Year Up Greater Atlanta Graduation,CHRTY_GRAD,1,0.174149981
292,10201,Honda Battle of the Bands,COMP,2,0.199611373
293,6207,2018 International Production & Processing Expo,CONV,1,0.181705547
294,17053,Rent Due Comedy Show Starring WatchJazzy as Toya Turn Up,ME_OTH,1,0.195753422
295,17386,The Expo Group/KeHE,CON_P,1,0.197232951
296,16040,Hot Chocolate 5K/15K,SMALL,0,0.192894255
