,Event ID,Description,Start Date,End Date,Status,Type,Booked Spaces,Firm (Booked Date),Forecast Attendance,Actual Attendance (Attendee + Exhibitor),In Date,Out Date,Booking Entered On (Client Contact Date),SQFT per Event,F&B Minimum Per Contract:,Total Room Nights,Ordered Rent Total,eventDuration,bookingTillStart,contactTillStart,totalEventDuration,startDoW,endDoW,isWeekend,isHoliday,isHolidayTotal,isStadium,Frequency,Recur (Y/N),O,U,P-A,P-B,P-C,M-A2,E-A3,E-A1,E-A2,E-B1,E-B2,E-B3,E-C1,M-A5,M-B2,M-C4,BA-C,M-A1,P,M-A4,M-A3,M-B3,M-B4,M-B1,M-B5,M-C1,M-C2,M-C3,BA-A,BA-B,Expense
263,11431,Adoption & Integration of POCT in an IDN,42212,2015/7/28,Confirmed (56),MEET,['Meeting Room A310'],42202,15,10,42212,2015/7/28,42166,1900,,,1000,2,10,46,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
264,5618,American Association for Clinical Chemistry 2015 Annual Meeting and Clinical Lab Expo,42213,2015/7/30,Confirmed (56),CONV,"['A-B Connector Concourse West', ' Building A-B Registration Hall', ' Executive Boardroom', ' Exhibit Halls B1-B5 Combined', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B216', ' Meeting Room B217', ' Meeting Room B218', ' Meeting Room B301', ' Meeting Room B302', ' Meeting Room B303', ' Meeting Room B304', ' Meeting Room B305', ' Meeting Room B306', ' Meeting Room B307', ' Meeting Room B308', ' Meeting Room B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312', ' Meeting Room B313', ' Meeting Room B313A', ' Meeting Room B313B', ' Meeting Room B314', ' Meeting Room B315', ' Meeting Room B316', ' Meeting Room B317', ' Meeting Room B318', ' Meeting Room B319', ' Meeting Room B401', ' Meeting Room B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B406A', ' Meeting Room B406B', ' Meeting Room B407', ' Meeting Room B408', ' Meeting Room B409', ' Meeting Room B411', ' Sidney Marcus Auditorium', ' Thomas Murphy Ballroom 1-4']",39304,20000,17512,42207,2015/8/1,41408,8835169,0,23906,406170,3,2909,805,11,1,3,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,7,11,37,0,2,7,0,0,7,1,0,1,24,11,6,3,0,0,0,1,1,nomatch
265,11002,Music @ Noon,42213,2015/7/28,Confirmed (56),CON,['Southern Company Amphitheater'],42104,200,0,42213,2015/7/28,42104,0,0,1,0,1,109,109,1,1,1,0,0,0,0,75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
266,11359,LLN Atlanta Meeting,42213,2015/7/28,Confirmed (56),MEET,['Meeting Room C202-C203'],42185,100,190,42213,2015/7/28,42150,3716,,,500,1,28,63,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,nomatch
267,11397,Senior Culinary Chapter Meeting,42213,2015/7/28,Confirmed (56),MEET,"['Meeting Room C208', ' Meeting Room C209']",42187,30,40,42213,2015/7/28,42158,2918,,,430,1,26,55,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,nomatch
268,10272,Wednesday WindDown,42214,2015/7/29,Confirmed (56),CON,['Southern Company Amphitheater'],41995,1500,0,42214,2015/7/29,41995,0,0,1,0,1,219,219,1,2,2,0,0,0,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
269,11328,CCC / Zone Meeting,42214,2015/7/29,Confirmed (56),ME,"['Georgia Ballroom 1', ' Georgia Ballroom 2', ' Georgia Ballroom 3', ' Georgia Ballroom Galleria', ' Meeting Room C201', ' Meeting Room C202-C204', ' Meeting Room C208-C210', ' Meeting Room C211-C213', ' Meeting Room C213']",42177,800,600,42213,2015/7/29,42142,47742,15000,,13135,1,37,72,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,8,0,0,0,nomatch
270,11644,Omni Managers Retreat,42214,2015/7/29,Confirmed (56),INT,['Room C102 Auditorium'],42220,80,60,42214,2015/7/29,42193,2420,,,0,1,-6,21,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
271,11772,Mixify Promo,42214,2015/7/29,Confirmed (56),SPORT,['Game Plaza'],42209,500,0,42214,2015/7/29,42209,0,,,5000,1,5,5,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
272,11131,Brew on the Bricks,42215,2015/7/30,Confirmed (56),CON,['All South Park'],42191,1500,0,42215,2015/7/30,42117,0,,1,0,1,24,98,1,3,3,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nomatch
